"","土地面積","建物面積","屋齡","房屋樓層","車位數目","有無管理","時間序列","單價萬_坪","lon","lat","road.name","price.level","X"
"3161",11.19,31.281525,1,"15",1,1,6,140657.851239669,120.952999,24.798128,"新竹市新竹巿經國路三段92巷1~30號","10~15W",1090
"3162",18.94,52.250825,1,"15",2,1,6,127461.157024793,120.95293,24.798191,"新竹市新竹巿經國路三段92巷16弄31~60號","10~15W",1091
"3163",16.35,42.098925,1,"15",1,1,6,154396.694214876,120.953019,24.79811,"新竹市新竹巿經國路三段92巷16弄16弄31~60號","15~20W",1092
"3164",17.21,43.387575,1,"15",1,1,6,140591.73553719,120.95291,24.798218,"新竹市新竹巿經國路三段92巷16弄16弄31~60號","10~15W",1093
"3165",42.04,90.269025,2,"24",2,1,6,231021.487603306,121.014044,24.786641,"新竹市新竹巿龍山東路271~300號","20~25W",1094
"3166",38.33,85.0509,2,"24",2,1,7,221966.94214876,121.013836,24.786831,"新竹市新竹巿龍山東路271~300號","20~25W",1095
"3167",35.86,82.222525,2,"22",2,1,6,230456.198347107,121.014053,24.786632,"新竹市新竹巿龍山東路271~300號","20~25W",1096
"3168",35.86,82.222525,2,"22",2,1,6,230456.198347107,121.014123,24.786569,"新竹市新竹巿龍山東路271~300號","20~25W",1097
"3169",35.86,80.159475,2,"22",2,1,6,224238.016528926,121.013826,24.78684,"新竹市新竹巿龍山東路271~300號","20~25W",1098
"3170",35.86,81.56005,2,"22",2,1,6,250932.231404959,121.014004,24.786677,"新竹市新竹巿龍山東路271~300號",">25W",1099
"3171",15.28,46.0889,14,"21",1,1,7,154049.58677686,120.968858,24.821273,"新竹市新竹巿武陵路179巷1~30號","15~20W",1100
"3172",19.64,48.40605,3,"14",1,1,6,214862.809917355,121.010058,24.791255,"新竹市新竹巿埔頂三路91~120號","20~25W",1101
"3173",19.89,43.3906,14,"20",1,1,7,152105.785123967,120.960726,24.823121,"新竹市新竹巿武陵路179巷1~30號","15~20W",1102
"3174",55.93,45.61095,7,"14",1,1,6,154568.595041322,120.969653,24.76571,"新竹市新竹巿志平路91~120號","15~20W",1103
"3175",19.8,50.617325,1,"15",1,1,6,147775.20661157,120.952672,24.798426,"新竹市新竹巿經國路三段92巷16弄61~90號","10~15W",1104
"3176",26,58.125375,16,"22",1,1,6,142793.388429752,120.968739,24.82139,"新竹市新竹巿武陵路151~180號","10~15W",1105
"3177",4.47,18.219575,11,"13",0,1,6,120750.41322314,120.582587,24.083918,"新竹市新竹巿自由路61~90號","10~15W",1106
"3178",9.3,32.04685,19,"12",1,1,6,163821.487603306,120.982384,24.802631,"新竹市新竹巿光復路二段871~900號","15~20W",1107
"3179",8.85,32.249525,17,"17",0,1,7,114730.578512397,120.962514,24.797228,"新竹市新竹巿臺溪里中華路三段31~60號","10~15W",1108
"3180",17.28,35.02345,16,"21",0,0,6,151325.619834711,120.96864,24.821471,"新竹市新竹巿武陵路175巷1~30號","15~20W",1109
"3181",9.15,30.55855,6,"14",0,1,5,118459.504132231,120.932671,24.83883,"新竹市新竹巿天府路一段481~510號","10~15W",1110
"3182",27.62,56.2771,5,"14",1,1,7,258542.148760331,120.997537,24.802523,"新竹市新竹巿公道五路二段331~360號",">25W",1111
"3183",13.45,36.865675,6,"15",1,1,6,136985.123966942,120.951614,24.799121,"新竹市新竹巿牛埔路121~150號","10~15W",1112
"3184",29.72,43.835275,16,"12",0,1,6,228112.396694215,120.99453,24.802243,"新竹市新竹巿建功一路91~120號","20~25W",1113
"3185",39.33,65.3158,9,"12",1,1,6,92628.0991735537,120.956945,24.769283,"新竹市新竹巿富群街1~30號","<10W",1114
"3186",14.92,44.736725,17,"20",1,1,6,258846.280991736,121.0009,24.789883,"新竹市新竹巿大學路61~90號",">25W",1115
"3187",44.46,110.98725,3,"20",2,1,7,282013.223140496,121.020235,24.786325,"新竹市新竹巿關新東路301~330號",">25W",1116
"3188",19.63,55.14575,17,"21",1,1,6,233563.636363636,121.001127,24.78973,"新竹市新竹巿大學路31~60號","20~25W",1117
"3189",17.66,49.020125,16,"20",0,0,7,145857.851239669,120.959341,24.823455,"新竹市新竹巿武陵路175巷1~30號","10~15W",1118
"3190",27.1,62.172825,2,"14",2,1,7,120218.181818182,120.94947,24.793712,"新竹市新竹巿中山路640巷481~510號","10~15W",1119
"3191",12.68,34.524325,20,"12",0,1,6,104852.892561983,120.94582,24.794252,"新竹市新竹巿東華路1~30號","10~15W",1120
"3192",13.92,37.39505,3,"12",1,1,7,231295.867768595,121.009109,24.793007,"新竹市新竹巿慈祥路61~90號","20~25W",1121
"3193",29.97,62.463225,1,"11",1,1,7,193233.05785124,120.976002,24.814638,"新竹市新竹巿田美三街5巷31~60號","15~20W",1122
"3194",12.98,34.899425,14,"22",0,1,7,144700.826446281,120.96863,24.82148,"新竹市新竹巿武陵路175巷1~30號","10~15W",1123
"3195",37.36,60.484875,7,"13",1,1,6,247996.694214876,120.995222,24.803914,"新竹市新竹巿公道五路二段421~450號","20~25W",1124
"3196",10.17,33.429275,19,"12",0,1,6,117262.809917355,120.961891,24.797562,"新竹市新竹巿林森路271~300號","10~15W",1125
"3197",20.65,44.543125,7,"13",1,1,7,168386.776859504,120.955371,24.804241,"新竹市新竹巿經國路二段511~540號","15~20W",1126
"3198",10.76,31.432775,6,"15",1,1,5,125666.115702479,120.951792,24.798958,"新竹市新竹巿牛埔路121~150號","10~15W",1127
"3199",13.61,36.6267,3,"12",1,1,6,236165.289256198,121.009327,24.792799,"新竹市新竹巿慈祥路61~90號","20~25W",1128
"3200",26.16,52.662225,3,"14",1,1,6,270783.47107438,121.020937,24.786117,"新竹市新竹巿關新北路181~210號",">25W",1129
"3201",16.49,58.67895,18,"16",0,1,6,78052.8925619835,120.944187,24.795967,"新竹市新竹巿牛埔東路241~270號","<10W",1130
"3202",20.43,43.792925,8,"13",1,1,6,250267.768595041,121.015072,24.78563,"新竹市新竹巿長春街62巷1~30號",">25W",1131
